name,ion,wl,flux,rms,I
PN3m    ,     [OII], 3727  ,373.9 ,58.6 , 517.3
PN3m    ,       HeI, 3805  ,  0.  , 0.  ,   0. 
PN3m    ,        HI, 3835  ,  0.  , 0.  ,   0. 
PN3m    ,   [NeIII], 3869  ,  0.  , 0.  ,   0. 
PN3m    ,       HeI, 3889  ,  0.  , 0.  ,   0. 
PN3m    ,[NeIII]/HI, 3968  ,  0.  , 0.  ,   0. 
PN3m    ,     [SII], 4070  ,  0.  , 0.  ,   0. 
PN3m    ,        HI, 4100  ,  0.  , 0.  ,   0. 
PN3m    ,        HI, 4340  , 50.  , 3.5 ,  58. 
PN3m    ,    [OIII], 4363  ,  0.  , 0.  ,   0. 
PN3m    ,       HeI, 4471  ,  0.  , 0.  ,   0. 
PN3m    ,      HeII, 4540  ,  0.  , 0.  ,   0. 
PN3m    ,      HeII, 4686  ,  0.  , 0.  ,   0. 
PN3m    ,HeI/[ArIV], 4712  ,  0.  , 0.  ,   0. 
PN3m    ,    [ArIV], 4740  ,  0.  , 0.  ,   0. 
PN3m    ,        HI, 4861  ,100.  , 4.5 , 100. 
PN3m    ,    [OIII], 4959  , 35.4 , 3.8 ,  34.4
PN3m    ,    [OIII], 5007  ,104.2 , 5.2 ,  99.9
PN3m    ,      HeII, 5411  ,  0.  , 0.  ,   0. 
PN3m    ,     [NII], 5755  ,  1.3 , 0.3 ,   1.1
PN3m    ,       HeI, 5876  ,  9.1 , 0.3 ,   7.2
PN3m    ,      [OI], 6300  ,  0.  , 0.  ,   0. 
PN3m    ,    [SIII], 6312  ,  0.  , 0.  ,   0. 
PN3m    ,      [OI], 6363  ,  0.  , 0.  ,   0. 
PN3m    ,     [NII], 6548  , 59.8 , 3.5 ,  42.2
PN3m    ,        HI, 6563  ,412.  , 6.9 , 290.1
PN3m    ,     [NII], 6584  ,142.5 , 4.5 , 100. 
PN3m    ,       HeI, 6678  ,  0.  , 0.  ,   0. 
PN3m    ,     [SII], 6717  , 60.3 , 3.8 ,  41.4
PN3m    ,     [SII], 6731  , 44.3 , 3.4 ,  30.4
PN3m    ,       HeI, 6891  ,  0.  , 0.  ,   0. 
PN3m    ,     [ArV], 7005  ,  0.  , 0.  ,   0. 
PN3m    ,       HeI, 7065  ,  0.  , 0.  ,   0. 
